SMILES,T,P,Leak Size,Material Quantity,Number of carbon atoms,Number of hydrogen atoms,Number of oxygen  atoms,Number of nitrogen  atoms,Number of sulfur  atoms,Number of Halogen atoms,Molecular Weight,DM,¦ÅHOMO,¦ÅLUMO,¦Ì,¦Ç,¦Ø,lg(Explosion Diameter)
CCC,20,1000,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.551432919
CCC,20,1000,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.551201061
CCC,20,1000,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.551343851
CCC,50,1000,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.475804797
CCC,50,1000,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.475835289
CCC,50,1000,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.475803345
CCC,100,1000,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.313639472
CCC,100,1000,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.314250748
CCC,100,1000,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.313978942
CCC,0,100,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.771118395
CCC,0,100,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.770764408
CCC,0,100,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.769745729
CCC,20,100,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.961626564
CCC,20,100,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.961410177
CCC,20,100,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.96175938
